,year,type,quantity,capacity,trend
0,2011,solar,125.0,4025.0,-39488.68181818724
1,2012,solar,261.0,8802.0,-4234.7818181961775
2,2013,solar,554.0,19322.0,31019.118181809783
3,2014,solar,953.0,34885.0,66273.01818181574
4,2015,solar,1486.0,55920.0,101526.9181818068
5,2016,solar,2841.0,136445.0,136780.81818181276
6,2017,solar,3664.0,173023.0,172034.71818180382
7,2018,solar,4182.0,210492.0,207288.61818180978
8,2019,solar,4699.0,248781.0,242542.51818181574
9,2020,solar,5141.0,287902.0,277796.4181818068
10,2021,solar,5540.0,324992.0,313050.31818181276
11,2022,solar,,,348304.2181818187
12,2023,solar,,,383558.1181818247
13,2024,solar,,,418812.01818183064
14,2025,solar,,,454065.9181818366
15,2026,solar,,,489319.81818184257
16,2027,solar,,,524573.7181818485
17,2028,solar,,,559827.6181818545
18,2029,solar,,,595081.5181818604
19,2030,solar,,,630335.4181818664
20,2031,solar,,,665589.3181818724
0,2011,wind,4377.0,170279.0,176745.81818182766
1,2012,wind,5233.0,216957.0,230256.63636364043
2,2013,wind,7071.0,304584.0,283767.4545454532
3,2014,wind,7961.0,347117.0,337278.27272728086
4,2015,wind,8920.0,399153.0,390789.0909090936
5,2016,wind,9875.0,449234.0,444299.9090909064
6,2017,wind,10711.0,491542.0,497810.72727273405
7,2018,wind,11401.0,532831.0,551321.5454545468
8,2019,wind,12146.0,582244.0,604832.3636363596
9,2020,wind,13069.0,658174.0,658343.1818181872
10,2021,wind,13770.0,735184.0,711854.0
11,2022,wind,,,765364.8181818128
12,2023,wind,,,818875.6363636255
13,2024,wind,,,872386.4545454383
14,2025,wind,,,925897.272727251
15,2026,wind,,,979408.0909090638
16,2027,wind,,,1032918.9090908766
17,2028,wind,,,1086429.7272726893
18,2029,wind,,,1139940.545454502
19,2030,wind,,,1193451.3636363149
20,2031,wind,,,1246962.1818181276
0,2011,gas,6022.0,1598448.0,1605528.0909090936
1,2012,gas,6208.0,1647014.0,1665476.200000003
2,2013,gas,6432.0,1715213.0,1725424.3090909123
3,2014,gas,6640.0,1805995.0,1785372.4181818217
4,2015,gas,6815.0,1862185.0,1845320.527272731
5,2016,gas,6972.0,1909416.0,1905268.6363636404
6,2017,gas,7138.0,1961098.0,1965216.7454545498
7,2018,gas,7328.0,2039427.0,2025164.8545454592
8,2019,gas,7457.0,2098920.0,2085112.9636363685
9,2020,gas,7542.0,2143505.0,2145061.072727278
10,2021,gas,7647.0,2176734.0,2205009.1818181723
11,2022,gas,,,2264957.290909067
12,2023,gas,,,2324905.3999999613
13,2024,gas,,,2384853.5090908557
14,2025,gas,,,2444801.61818175
15,2026,gas,,,2504749.7272726446
16,2027,gas,,,2564697.836363539
17,2028,gas,,,2624645.9454544336
18,2029,gas,,,2684594.054545328
19,2030,gas,,,2744542.1636362225
20,2031,gas,,,2804490.272727117
0,2011,coal,6723.0,1757961.0,1794204.8181818128
1,2012,coal,6800.0,1818392.0,1836956.3454545438
2,2013,coal,6914.0,1876362.0,1879707.872727275
3,2014,coal,6959.0,1926253.0,1922459.400000006
4,2015,coal,6995.0,1995866.0,1965210.9272727221
5,2016,coal,7028.0,2046402.0,2007962.4545454532
6,2017,coal,7040.0,2084799.0,2050713.9818181843
7,2018,coal,7012.0,2102186.0,2093465.5090909153
8,2019,coal,7017.0,2142964.0,2136217.0363636315
9,2020,coal,6944.0,2156574.0,2178968.5636363626
10,2021,coal,6950.0,2179828.0,2221720.0909090936
11,2022,coal,,,2264471.6181818247
12,2023,coal,,,2307223.1454545557
13,2024,coal,,,2349974.672727287
14,2025,coal,,,2392726.200000018
15,2026,coal,,,2435477.727272749
16,2027,coal,,,2478229.25454548
17,2028,coal,,,2520980.781818211
18,2029,coal,,,2563732.309090942
19,2030,coal,,,2606483.836363673
20,2031,coal,,,2649235.3636364043
