,year,type,quantity,capacity,trend
0,2011,solar,125.0,4025.0,-398.8181818181183
1,2012,solar,261.0,8802.0,216.32727272738703
2,2013,solar,554.0,19322.0,831.4727272728924
3,2014,solar,953.0,34885.0,1446.6181818181649
4,2015,solar,1486.0,55920.0,2061.7636363636702
5,2016,solar,2841.0,136445.0,2676.9090909091756
6,2017,solar,3664.0,173023.0,3292.054545454681
7,2018,solar,4182.0,210492.0,3907.2000000001863
8,2019,solar,4699.0,248781.0,4522.345454545459
9,2020,solar,5141.0,287902.0,5137.490909090964
10,2021,solar,5540.0,324992.0,5752.6363636364695
11,2022,solar,,,6367.781818181975
12,2023,solar,,,6982.92727272748
13,2024,solar,,,7598.0727272729855
14,2025,solar,,,8213.21818181849
15,2026,solar,,,8828.363636363996
16,2027,solar,,,9443.509090909502
17,2028,solar,,,10058.654545455007
18,2029,solar,,,10673.800000000512
19,2030,solar,,,11288.945454546018
20,2031,solar,,,11904.090909091523
0,2011,wind,4377.0,170279.0,4857.409090908943
1,2012,wind,5233.0,216957.0,5786.545454545179
2,2013,wind,7071.0,304584.0,6715.681818181649
3,2014,wind,7961.0,347117.0,7644.8181818178855
4,2015,wind,8920.0,399153.0,8573.954545454355
5,2016,wind,9875.0,449234.0,9503.090909090824
6,2017,wind,10711.0,491542.0,10432.227272727061
7,2018,wind,11401.0,532831.0,11361.36363636353
8,2019,wind,12146.0,582244.0,12290.499999999767
9,2020,wind,13069.0,658174.0,13219.636363636237
10,2021,wind,13770.0,735184.0,14148.772727272473
11,2022,wind,,,15077.90909090871
12,2023,wind,,,16007.045454544947
13,2024,wind,,,16936.181818181183
14,2025,wind,,,17865.31818181742
15,2026,wind,,,18794.454545453656
16,2027,wind,,,19723.590909089893
17,2028,wind,,,20652.72727272613
18,2029,wind,,,21581.863636362366
19,2030,wind,,,22510.999999998603
20,2031,wind,,,23440.13636363484
0,2011,gas,6022.0,1598448.0,6098.500000000058
1,2012,gas,6208.0,1647014.0,6264.272727272764
2,2013,gas,6432.0,1715213.0,6430.04545454547
3,2014,gas,6640.0,1805995.0,6595.818181818235
4,2015,gas,6815.0,1862185.0,6761.590909090941
5,2016,gas,6972.0,1909416.0,6927.363636363647
6,2017,gas,7138.0,1961098.0,7093.136363636411
7,2018,gas,7328.0,2039427.0,7258.909090909117
8,2019,gas,7457.0,2098920.0,7424.6818181818235
9,2020,gas,7542.0,2143505.0,7590.454545454588
10,2021,gas,7647.0,2176734.0,7756.227272727294
11,2022,gas,,,7922.0
12,2023,gas,,,8087.772727272706
13,2024,gas,,,8253.545454545412
14,2025,gas,,,8419.318181818118
15,2026,gas,,,8585.090909090824
16,2027,gas,,,8750.86363636353
17,2028,gas,,,8916.636363636237
18,2029,gas,,,9082.409090908943
19,2030,gas,,,9248.181818181649
20,2031,gas,,,9413.954545454355
0,2011,coal,6723.0,1757961.0,6845.136363636368
1,2012,coal,6800.0,1818392.0,6864.8727272727265
2,2013,coal,6914.0,1876362.0,6884.609090909093
3,2014,coal,6959.0,1926253.0,6904.345454545459
4,2015,coal,6995.0,1995866.0,6924.081818181818
5,2016,coal,7028.0,2046402.0,6943.818181818184
6,2017,coal,7040.0,2084799.0,6963.55454545455
7,2018,coal,7012.0,2102186.0,6983.290909090909
8,2019,coal,7017.0,2142964.0,7003.027272727275
9,2020,coal,6944.0,2156574.0,7022.763636363641
10,2021,coal,6950.0,2179828.0,7042.5
11,2022,coal,,,7062.236363636359
12,2023,coal,,,7081.972727272718
13,2024,coal,,,7101.709090909077
14,2025,coal,,,7121.4454545454355
15,2026,coal,,,7141.181818181794
16,2027,coal,,,7160.918181818153
17,2028,coal,,,7180.654545454512
18,2029,coal,,,7200.390909090871
19,2030,coal,,,7220.12727272723
20,2031,coal,,,7239.863636363589
