,country,country_iso,capacity
0,Afghanistan,AFG,3.4011973816621555
1,Algeria,DZA,6.09807428216624
2,Angola,AGO,5.8289456176102075
3,Argentina,ARG,6.79794041297493
4,Australia,AUS,9.155884186180124
5,Austria,AUT,3.1780538303479458
6,Azerbaijan,AZE,2.995732273553991
7,Bahrain,BHR,4.605170185988092
8,Bangladesh,BGD,5.8805329864007
9,Belarus,BLR,4.007333185232471
10,Belgium,BEL,5.4510384535657
11,Benin,BEN,3.2188758248682006
12,Bolivia,BOL,4.700480365792417
13,Brazil,BRA,9.048056708918736
14,Bulgaria,BGR,5.455321115357702
15,Burkina Faso,BFA,4.795790545596741
16,Cambodia,KHM,5.978885764901122
17,Canada,CAN,7.359467638255621
18,Central African Republic,CAF,3.2188758248682006
19,Chad,TCD,3.912023005428146
20,Chile,CHL,9.004299728561636
21,China,CHN,11.7705786497076
22,Colombia,COL,7.937731775260109
23,Congo,COG,5.8289456176102075
24,Cuba,CUB,3.6635616461296463
25,Czech Republic,CZE,4.465908118654584
26,Denmark,DNK,6.591673732008658
27,Djibouti,DJI,3.4011973816621555
28,Dominican Republic,DOM,6.089044875446846
29,Egypt,EGY,7.400620577371135
30,El Salvador,SLV,5.272999558563747
31,France,FRA,7.149131598557407
32,Germany,DEU,8.064636475774222
33,Ghana,GHA,4.499809670330265
34,Greece,GRC,6.091309882077698
35,Guam,GUM,4.983606621708336
36,Guatemala,GTM,4.532599493153256
37,Holy See,Vat,4.605170185988092
38,Honduras,HND,6.091309882077698
39,Hungary,HUN,5.749392985908253
40,India,IND,10.29799282040795
41,Indonesia,IDN,4.976733742420574
42,Iran,IRN,2.995732273553991
43,Ireland,IRL,5.288267030694535
44,Israel,ISR,6.126869184114185
45,Italy,ITA,6.925595197110468
46,Jamaica,JAM,4.276666119016055
47,Japan,JPN,9.05193063522854
48,Jordan,JOR,6.954638864880987
49,Kazakhstan,KAZ,6.99117688712121
50,Kenya,KEN,5.43372200355424
51,Kuwait,KWT,2.995732273553991
52,Laos,LAO,4.1588830833596715
53,Lesotho,LSO,3.4011973816621555
54,Libya,LBY,4.605170185988092
55,Madagascar,MDG,2.995732273553991
56,Malawi,MWI,5.017279836814924
57,Malaysia,MYS,6.963189985870238
58,Mali,MLI,4.382026634673881
59,Mauritania,MRT,4.174387269895637
60,Mexico,MEX,9.458449669308141
61,Mongolia,MNG,3.4011973816621555
62,Morocco,MAR,6.553933404025811
63,Mozambique,MOZ,4.61512051684126
64,Myanmar,MMR,4.605170185988092
65,Namibia,NAM,3.828641396489095
66,Nepal,NPL,3.2188758248682006
67,Netherlands,NLD,6.955592608396297
68,Oman,OMN,6.4457198193855785
69,Pakistan,PAK,6.551080335043404
70,Panama,PAN,5.176149732573829
71,Peru,PER,6.669498089857879
72,Philippines,PHL,7.154615356913663
73,Poland,POL,4.897839799950911
74,Portugal,PRT,6.490723534502507
75,Puerto Rico,PRI,4.653960350157523
76,Qatar,QAT,5.8998973535824915
77,Romania,ROU,6.028278520230698
78,Russia,RUS,7.013915474810528
79,Saint Kitts and Nevis,KNA,3.6375861597263857
80,Saudi Arabia,SAU,7.685243607975833
81,Senegal,SEN,5.356586274672012
82,Singapore,SGP,4.0943445622221
83,Slovakia,SVK,3.2188758248682006
84,Somalia,SOM,2.302585092994046
85,South Africa,ZAF,7.988203597022576
86,South Korea,KOR,5.75890177387728
87,South Sudan,SSD,2.995732273553991
88,Spain,ESP,9.003070169818264
89,Sri Lanka,LKA,2.995732273553991
90,Syria,SYR,5.0238805208462765
91,Taiwan,TWN,7.301147805856032
92,Thailand,THA,6.391917113392602
93,Togo,TGO,3.912023005428146
94,Tunisia,TUN,5.521460917862246
95,Turkey,TUR,7.482681828154651
96,Uganda,UGA,4.04305126783455
97,Ukraine,UKR,7.334981878871814
98,United Arab Emirates,ARE,8.022896869601457
99,United Kingdom,GBR,7.911690520708339
100,United States,USA,10.911062187812915
101,Uruguay,URY,5.247024072160486
102,Uzbekistan,UZB,4.605170185988092
103,Vietnam,VNM,9.292657414465397
104,Western Sahara,ESH,4.653960350157523
105,Zambia,ZMB,4.477336814478207
106,Zimbabwe,ZWE,5.135798437050262
