,plant_type,plant_name,latitude,longitude,capacity
0,solar,2W Permian Solar Project Hybrid,32.1164,-102.528,420
1,solar,AES Lawai Solar Hybrid,21.9082,-159.492,20
2,solar,ANSON Solar Center,32.811,-99.9175,200
3,solar,APGENCO solar farm,14.952,78.0542,200
4,solar,ARC Benban Solar PV Plant,24.4477,32.7433,50
5,solar,ASM PV solar farm,43.125,25.5455,21
6,solar,AT Solar Park,30.678,-112.055,138
7,solar,Abbots Ripton solar farm,52.3787,-0.1982,25
8,solar,Abertura solar farm,39.226,-5.7786,23
9,solar,Abril Photovoltaic Solar Project,30.7146,-112.161,99
10,solar,Abw Solar Belmont,42.8921,-81.114,20
11,solar,Abw Solar Walpole,42.9378,-80.1447,20
12,solar,Abyodos Kom Ombo solar farm,24.4693,32.8401,500
13,solar,Adams Aurora solar farm,-27.3656,23.0131,83
14,solar,Adanarg PV solar farm,30.1133,-107.615,33
15,solar,Adelanto Solar,34.5572,-117.378,20
16,solar,Adenium Rashadiya solar farm,30.6843,35.628,16
17,solar,Adera Solar,37.1206,-120.325,20
18,solar,Adhavan solar farm,10.3261,77.9851,60
19,solar,Adobe Solar,35.1028,-118.954,20
20,solar,Adoni solar farm,15.6559,77.2698,39
21,solar,Adra solar farm,33.4949,36.248,110
22,solar,Adrar Solar Plant,27.9077,-0.3174,20
23,solar,Agano Solar Park,37.8799,139.0579,24
24,solar,Aggeneys solar farm,-29.2374,18.8995,46
25,solar,Agua Caliente Solar Project,32.9774,-113.495,348
26,solar,Agua Fría Solar Power Plant,13.4828,-87.5523,60
27,solar,Aguascalientes Potencia PV Solar Park,21.7638,-102.215,68
28,solar,Aguascalientes Sur Photovoltaic Solar Power Plant,23.9922,-104.657,38
29,solar,Ahlhorn Solar Power Plant,52.8886,8.2334,34
30,solar,Ahumada solar farm,30.6207,-106.514,30
31,solar,Ain Azel solar farm,36.1611,5.3321,20
32,solar,Ain El Ibel Solar,34.3433,3.1696,33
33,solar,Ain El Ibel Solar,34.3447,3.1636,20
34,solar,Ain El Mehl Solar,34.8597,4.2026,20
35,solar,Ain Skhouna Solar,34.532,0.804,30
36,solar,Airport Solar,42.1702,-120.402,47
37,solar,Akadyr solar farm,48.2634,72.8558,76
38,solar,Akhtubinsky solar farm,48.405,46.235,60
39,solar,Akkeshi Mega Solar Project,43.019,144.6639,32
40,solar,Akuo Kita solar farm,13.0287,-9.5178,50
41,solar,Al Askar IPP solar farm,26.0445,50.6045,100
42,solar,Al Badiya solar farm,32.1352,36.0,23
43,solar,Al Husainiyah solar farm,30.5955,35.7991,50
44,solar,Al Kharsaah Solar,25.3171,51.5122,350
45,solar,Al Safawi Arabia One Solar,30.1586,35.8149,12
46,solar,Al Safawi Power Station solar farm,32.1871,37.1222,67
47,solar,Al Shagaya Solar Energy I,29.2285,47.0624,10
48,solar,Al Solar,32.8763,-85.3882,79
49,solar,Al Ward Al Joury solar farm,30.1588,35.8151,12
50,solar,Al Zahrat Al Salam solar farm,30.1588,35.8151,12
51,solar,Al Zanbaq solar farm,30.1588,35.8151,11
52,solar,Alages Adilcevaz solar farm,38.9164,42.6117,24
53,solar,Alaia Solar Park,31.1043,-107.997,32
54,solar,Alamo (California) solar farm,34.6822,-117.348,20
55,solar,Alamo (Texas) solar farm,29.2167,-99.7161,100
56,solar,Alamo (Texas) solar farm,29.2717,-98.4447,41
57,solar,Alamo (Texas) solar farm,29.3289,-100.384,40
58,solar,Alamo (Texas) solar farm,30.9931,-102.271,105
59,solar,Alamo (Texas) solar farm,33.04,-99.5525,100
60,solar,Aland solar farm,17.5677,76.5689,20
61,solar,Alarcos solar farm,38.936,-3.9897,50
62,solar,Albaek solar farm,57.5925,10.4116,22
63,solar,Albemarle Beach Solar,35.9282,-76.6205,80
64,solar,Alcalá De Guadaira Solar Park,37.3563,-5.8171,149
65,solar,Alcazar Ma'An solar farm,30.1589,35.8147,21
66,solar,Alchichica Solar Plant,19.5435,-97.3242,333
67,solar,Alcores solar farm,37.3943,-5.9984,40
68,solar,Aleppo solar farm,36.5531,38.5934,42
69,solar,Alex Solar Complex,-5.2572,-37.9729,31
70,solar,Alex Solar Complex,-5.2522,-37.9896,31
71,solar,Alex Solar Complex,-5.2516,-37.9786,31
72,solar,Alex Solar Complex,-5.2507,-37.9844,31
73,solar,Alex Solar Complex,-5.2447,-37.9742,31
74,solar,Alex Solar Complex,-5.2429,-38.0011,31
75,solar,Alex Solar Complex,-5.2401,-37.9899,31
76,solar,Alex Solar Complex,-5.2401,-37.9785,31
77,solar,Alex Solar Complex,-5.2383,-37.9854,31
78,solar,Alfonsine Solar Park,44.5712,11.9884,56
79,solar,Algerie Sud-Ouest solar farm,27.8743,-0.2939,53
80,solar,Algibicos solar farm,37.8628,-1.0829,49
81,solar,Almansa solar farm,38.8793,-1.0903,50
82,solar,Almeyda Solar Plant,-24.5563,-69.4226,62
83,solar,Alot solar farm,23.7633,75.5565,24
84,solar,Alpaugh solar farm,35.8983,-119.435,50
85,solar,Alpaugh solar farm,35.9025,-119.443,20
86,solar,Alpine Solar,34.7892,-118.505,66
87,solar,Alt Daber solar farm,53.2001,12.5167,68
88,solar,Alta Luna solar farm,32.572,-107.486,28
89,solar,Altavista Solar,37.1482,-79.3475,80
90,solar,Alten Solem solar farm,21.9422,-102.317,348
91,solar,Altiplano 200 Solar Power Plant,-24.0393,-66.8613,208
92,solar,Alto Cielo PV Solar Plant,-30.4214,-57.4574,26
93,solar,Alttrebin Solarpark,52.6937,14.2391,149
94,solar,Alvarado solar farm,38.8098,-6.7908,50
95,solar,Am Solar Power Plant,31.909,36.1017,40
96,solar,Amanecer Solar Cap Power Plant,-27.119,-70.1715,100
97,solar,Amareleja Solar Park,38.2071,-7.2264,46
98,solar,Amaterasu Shiroishi solar farm,38.0024,140.6199,162
99,solar,Amazon Zaragoza solar farm,41.6517,-0.7839,50
100,solar,Ambatolampy solar farm,-19.489,47.445,20
101,solar,American Falls Solar,42.824,-112.752,20
102,solar,American Kings Solar,36.24,-119.898,128
103,solar,Amherstburg Solar Park,42.1658,-83.0849,20
104,solar,Amin Solar PV Power Plant,19.6793,56.5911,105
105,solar,Ammerland Solarpark,53.1812,8.1552,21
106,solar,Amphur Banglen solar farm,13.9115,100.1664,60
107,solar,Amsdorf solar farm,51.7647,11.9518,28
108,solar,An Giang Sao Mai solar farm,10.5579,104.9915,210
109,solar,Anantapur Solar Park,13.1673,79.2128,100
110,solar,Anantapur solar farm,13.5996,78.5303,40
111,solar,Ananthapuram solar farm,13.1673,79.2128,250
112,solar,Ananthapuramu (ACME) Ultra Mega Solar Park,14.0902,78.462,50
113,solar,Ananthapuramu (APGENCO) Ultra Mega Solar Park,14.9519,78.0543,400
114,solar,Ananthapuramu (Ayana) Ultra Mega Solar Park,14.0278,78.4281,150
115,solar,Ananthapuramu (Azure) Ultra Mega Solar Park,14.027,78.4427,50
116,solar,Ananthapuramu (FRV) Ultra Mega Solar Park,14.0902,78.462,50
117,solar,Ananthapuramu (SB Energy) Ultra Mega Solar Park,14.0321,78.4357,238
118,solar,Ananthapuramu (Sprng) Ultra Mega Solar Park,14.0321,78.4357,228
119,solar,Ananthapuramu (Tata) Ultra Mega Solar Park,14.0902,78.462,100
120,solar,Andalucía Solar Plant,25.559,-103.171,106
121,solar,Andes Solar Park,-24.0091,-68.585,203
122,solar,Andes Solar Park,-23.6918,-70.4082,80
123,solar,Andhra Pradesh 1 solar farm,14.8221,78.2817,50
124,solar,Andhra Pradesh 2 solar farm,14.8221,78.2817,130
125,solar,Andhra Pradesh 3 solar farm,14.8221,78.2817,59
126,solar,Andévalo solar farm,37.6102,-7.2453,50
127,solar,Anhui Bozhou Lixin Chengjiaji Xinyi solar farm,33.0387,116.234,20
128,solar,Anhui Bozhou Lixin Kantun Xinyi solar farm,33.044,116.1251,100
129,solar,Anhui Bozhou Lixin Xinyi solar farm,33.0309,116.2956,20
130,solar,Anhui Changfeng County Dulongbei Reservoir fisheries Photovoltaic solar farm,32.2546,117.1501,20
131,solar,Anhui Changfeng County Weilaohe Reservoir solar farm,32.1418,117.0614,20
132,solar,Anhui Changfeng County Yijing distributed fisheries solar farm,32.0,117.0,20
133,solar,Anhui Changfeng Jidu Xijia Dam East solar farm,32.345,117.3595,20
134,solar,Anhui Changfeng Jidu Xijia Dam West solar farm,32.345,117.3595,20
135,solar,Anhui Changfeng Sanlihe Reservoir solar farm,32.3107,117.2516,20
136,solar,Anhui Changfeng Wadong Canal Wushanduan Reservoir fisheries solar farm,32.1422,117.061,20
137,solar,Anhui Changfeng Zhuangmuzhen solar farm,32.3458,117.1252,20
138,solar,Anhui Changfeng Zhuxiangzhen Qilicun solar farm,32.3091,117.2534,20
139,solar,Anhui Chaohu Bazhen CGN solar farm,31.7221,117.1866,20
140,solar,"Anhui Chaohu Langanji ""wilderness"" Photovoltaic solar farm",32.0,117.0,50
141,solar,Anhui Chaohu Xiagezhen Distributed solar farm,31.7058,117.8311,20
142,solar,Anhui Dangshan Caozhuang Xihonghe solar farm,34.4732,116.2202,20
143,solar,Anhui Dingyuan Qilitang Town fisheries solar farm,32.0,117.0,30
144,solar,Anhui Dingyuan Yongkangzhen Zhenlongshan solar farm,32.6028,117.4217,20
145,solar,Anhui Fanchang Daihu Xinyi Guangneng solar farm,31.0561,118.3242,20
146,solar,Anhui Fanchang Daihu Xinyi Guangneng solar farm,31.0608,118.343,40
147,solar,Anhui Feidong Liangyuan Jiannan solar farm,31.9969,117.5556,20
148,solar,Anhui Feidong Liangyuan Jiuyang solar farm,31.9967,117.5555,20
149,solar,Anhui Feidong Liangyuan Xianhupo Jinyang solar farm,31.9415,117.5609,100
150,solar,Anhui Feixi Mingchuan Zhonghui Distributed solar farm,31.7321,116.9715,20
151,solar,Anhui Feixi Yongfeng solar farm,31.5555,117.0424,20
152,solar,Anhui Fengyang Banqaiozhen Xiazhangtang Photovoltaic solar farm,32.0,117.0,20
153,solar,Anhui Fengyang Banqiaozhen Xiexin Photovoltaic solar farm,32.0,117.0,20
154,solar,Anhui Fengyuan Banqiaozhen Zhetang solar farm,32.7777,117.6071,20
155,solar,Anhui Funan County Wanghuazhen Xindi poverty alleviation solar farm,32.0,117.0,20
156,solar,Anhui Funan County Wanghuazhen Xinwang poverty alleviation solar farm,32.0,117.0,80
157,solar,Anhui Fuyang Yingdong Lvzhaicun solar farm,32.9619,115.9285,20
158,solar,Anhui Fuyang Yingshang Gengpengzhen solar farm,32.6431,116.1151,60
159,solar,Anhui Guichi Wushazhen Xihu fisheries Photovoltaic solar farm,30.6062,117.2936,40
160,solar,Anhui Guzhen Diaoyutai Lake Photovoltaic solar farm,32.0,117.0,20
161,solar,Anhui Hanshan Yuncaozhen solar farm,31.4469,118.1172,20
162,solar,Anhui Hefei Changfeng Dachuan solar farm,32.2949,117.1056,40
163,solar,Anhui Hefei Jingshang Commercial City Distributed solar farm,31.9421,117.3718,30
164,solar,Anhui Hefei Lizhuang Reservoir solar farm,32.277,117.0954,20
165,solar,Anhui Hefei Shengang Reservoir solar farm,32.3099,117.1304,20
166,solar,Anhui Hefei Xinzhan District Modian solar farm,31.9421,117.3799,20
167,solar,Anhui Hefei Xinzhan District Yanhecun solar farm,31.9421,117.3799,20
168,solar,Anhui Huainan Jinhui Maoji solar farm,32.5818,116.5956,20
169,solar,Anhui Huainan Xiejiaji Wangfenggang Xinyi solar farm,32.6118,116.8794,20
170,solar,Anhui Huainan Xiejiaji fisheries solar farm,32.0,117.0,20
171,solar,Anhui Huainan Xiejiaji solar farm,32.5638,116.8463,70
172,solar,"Anhui Huainan Yaohe Fishfarm ""fisheries"" Photovoltaic solar farm",32.6886,117.1385,130
173,solar,Anhui Huaining Liangting Fangjiahu fisheries solar farm,32.0,117.0,20
174,solar,Anhui Huoqiu Changjizhen agricultural Photovoltaic solar farm,32.0,117.0,20
175,solar,Anhui Jinzhai (Guanggu) agricultural solar Photovoltaic power plant,32.0,117.0,40
176,solar,Anhui Jinzhai (Jinzhai Anyang) Solar Power Plant,32.0,117.0,40
177,solar,Anhui Jinzhai (Jinzhai Xinhuangming) Photovoltaic solar farm,32.0,117.0,100
178,solar,Anhui Jinzhai (Taike) Photovoltaic solar farm,32.0,117.0,30
179,solar,Anhui Jinzhai Fuhe Photovoltaic solar farm,31.7352,116.0019,100
180,solar,"Anhui Jinzhai Jinye ""agricultural"" solar farm",32.0,117.0,50
181,solar,Anhui Jinzhai Louchongcun agricultural Photovoltaic solar farm,32.0,117.0,30
182,solar,Anhui Jinzhai Modern (Dade) Industrial Park agricultural solar farm,31.9124,115.9196,100
183,solar,Anhui Jinzhai Sanlijing Village (Huaxi) solar farm,32.0,117.0,70
184,solar,Anhui Jinzhai Xiwan Photovoltaic solar farm,32.0,117.0,60
185,solar,Anhui Lai'an Zhangshanxiang Photovoltaic solar farm,32.0,117.0,20
186,solar,Anhui Langxi (Jinko) Photovoltaic solar farm,32.0,117.0,20
187,solar,Anhui Langxi Shengshi Feili distributed Photovoltaic solar farm,31.1186,119.0354,20
188,solar,Anhui Lingbi Huigou Fengshan solar farm,33.7561,117.5613,20
189,solar,Anhui Lingbi Huigou Lingyang solar farm,33.6482,116.9588,20
190,solar,Anhui Lingbi Louzhuang Photovoltaic solar farm,32.0,117.0,20
191,solar,Anhui Lingbi Qinyang Yugou solar farm,33.7023,118.8986,50
192,solar,Anhui Lixin Xinyi solar farm,33.0167,116.1164,50
193,solar,Anhui Lu'an Yu'an solar farm,31.6262,116.3685,70
194,solar,Anhui Lujiang Baihu Shengli Polder Distributed solar farm,31.2215,117.397,20
195,solar,Anhui Lujiang Chuangyuan Xuejiawei Lusheng Distributed solar farm,31.2592,117.2828,20
196,solar,Anhui Lujiang County Baihu Town Huanweihe fisheries solar farm,32.0,117.0,50
197,solar,Anhui Lujiang Luohe Dongfencun Distributed solar farm,31.2592,117.2828,20
198,solar,Anhui Lujiang Nihezhen Balicun agricultural Photovoltaic solar farm,32.0,117.0,20
199,solar,Anhui Lujiang Nihezhen Shagangcun agricultural Photovoltaic solar farm,32.0,117.0,20
200,solar,Anhui Lujiang Nijiangzhen Hongri solar farm,31.0751,117.3167,20
201,solar,Anhui Mengcheng Fanji solar farm,33.4307,116.6275,20
202,solar,Anhui Panji Nihe solar farm,32.7526,116.871,20
203,solar,Anhui Panji Tianjijiedao solar farm,32.7446,116.8824,20
204,solar,Anhui Province Chaohu Bazhen solar farm,31.3129,117.585,20
205,solar,Anhui Province Chaohu Hongqiaon solar farm,31.9016,117.7539,20
206,solar,Anhui Province Chaohu Suwan solar farm,31.3191,117.5289,50
207,solar,Anhui Province Dangtu Fishing and Light Complementary solar farm,31.4438,118.7247,260
208,solar,Anhui Province Feidong Liangyuan Fishing and Light Complementary solar farm,31.9462,117.5662,100
209,solar,Anhui Province Feidong Shitang solar farm,31.903,117.6185,20
210,solar,"Anhui Province Huaibei Suixi Hancunzhen ""Front Runner Plan"" solar farm",33.6204,116.6182,100
211,solar,"Anhui Province Huaibei Suixi Liuqiaozhen ""Front Runner Plan"" solar farm",33.8949,116.6663,50
212,solar,"Anhui Province Huaibei Suixi Nanpingzhen ""Front Runner Plan"" Tianhe solar farm",33.5336,116.8888,40
213,solar,"Anhui Province Huaibei Suixi Nanpingzhen ""Front Runner Plan"" Xiexin solar farm",33.5336,116.8888,60
214,solar,"Anhui Province Huainan Fengtai Guqiaozhen ""Front Runner Plan"" solar farm",32.8392,116.5456,150
215,solar,"Anhui Province Huainan Fengtai Xinji ""Front Runner Plan"" solar farm",32.7051,116.5274,100
216,solar,"Anhui Province Huainan Panji ""Front Runner Plan"" solar farm",32.8117,116.8706,150
217,solar,Anhui Province Liu'an Jinzhai Baitafan solar farm,31.7207,116.0653,100
218,solar,Anhui Province Liu'an Jinzhai Huijin Poverty Alleviation solar farm,31.7834,115.8998,100
219,solar,Anhui Province Liu'an Jinzhai Xinrui solar farm,31.4907,115.8192,20
220,solar,Anhui Province Liu'an Jinzhai Xinrui solar farm,31.7541,116.0393,100
221,solar,Anhui Province Liu'an Xinyi Jinzhai solar farm,31.765,115.9163,150
222,solar,Anhui Province Lujiang Dongsheng solar farm,31.029,117.2994,20
223,solar,Anhui Province Shouxian Anfengzhen Xinyi Guangneng Fishing and Light Complementary solar farm,32.1477,116.7733,100
224,solar,Anhui Province Shouxian Anfengzhen Xinyi New Energy Fishing and Light Complementary solar farm,32.1414,116.7866,100
225,solar,Anhui Province Suzhou Fuyang Yongqiao Fuli solar farm,33.6883,117.1596,50
226,solar,Anhui Province Suzhou Lingbi Qingyang solar farm,33.8911,117.6346,120
227,solar,"Anhui Province Suzhou Yongqiao Zhuxianzhuang ""Front Runner Plan"" solar farm",33.4565,116.9915,70
228,solar,Anhui Province Tianchang Huahui solar farm,32.6325,119.1106,300
229,solar,Anhui Province Wuhu Wuwei Yanqiaozhen solar farm,31.4281,117.7462,100
230,solar,Anhui Province Wuhu Xinyi Sanshan solar farm,31.1481,118.3251,100
231,solar,Anhui Province Wuwei Niubuzhen Xinyi Fishing and Light Complementary solar farm,31.0094,117.683,50
232,solar,Anhui Province Wuwei Niubuzhen Xinyi Fishing and Light Complementary solar farm,32.0,117.0,30
233,solar,"Anhui Province Yingshang Gucheng ""Front Runner Plan"" solar farm",32.8215,116.3025,120
234,solar,Anhui Province Zongyang Hengbu Fishing and Light Complementary solar farm,30.8592,117.4807,80
235,solar,Anhui Province Zongyang Tanggou Fishing and Light Complementary solar farm,30.843,117.4876,260
236,solar,Anhui Qiaocheng Gujing Photovoltaic solar farm,32.0,117.0,20
237,solar,Anhui Qingyang Xinhezhen Wulongcun fisheries solar farm,32.0,117.0,30
238,solar,Anhui Qingyang Xinhezhen Xiangyangcun fisheries solar farm,32.0,117.0,30
239,solar,Anhui Shouxian Anfengzhen solar farm,32.1447,116.785,100
240,solar,Anhui Shouxian Dongdaxu solar farm,32.1447,116.785,100
241,solar,Anhui Shouxian Shuangmiaoji Town agricultural solar power plang,32.0,117.0,20
242,solar,Anhui Shouxian Zhengyangguan CECEP solar farm,32.4813,116.5321,20
243,solar,Anhui Sixian County Zhushan Photovoltaic solar farm,32.0,117.0,50
244,solar,Anhui Susong Poverty alleviation Photovoltaic solar farm,30.1954,116.3025,50
245,solar,Anhui Suzhou Economic Zone Heguai agricultural Photovoltaic solar farm,32.0,117.0,20
246,solar,Anhui Suzhou Economic Zone Qiancun agricultural Photovoltaic solar farm,32.0,117.0,20
247,solar,Anhui Taihe Dayinzhai solar farm,33.192,115.4366,20
248,solar,Anhui Taihe Xiaokouzhen Wangyaocun Agriculturtal solar farm,32.0,117.0,20
249,solar,Anhui Tianchang Huadongyuan fisheries Photovoltaic solar farm,32.0,117.0,100
250,solar,Anhui Tianchang Huadongyuan fisheries Photovoltaic solar farm,32.7992,119.1238,40
251,solar,Anhui Tianchang Qinlanzhen Mumahu distributed solar farm,32.0,117.0,20
252,solar,Anhui Tongling Xilianzhen solar farm,31.0215,117.9274,100
253,solar,Anhui Wangjiang Xinyi Poverty Alleviation solar farm,30.1999,116.607,50
254,solar,Anhui Wangjiang Xinyi poverty alleviation solar farm,32.0,117.0,50
255,solar,Anhui Wuhu Huangnitan Ash Field Photovoltaic solar farm,32.0,117.0,20
256,solar,Anhui Xiaoxian Wangzhai agricultural distributed solar Photovoltaic power project,32.0,117.0,20
257,solar,Anhui Xiaoxian Xinzhuang Photovoltaic solar farm,34.0033,116.0133,20
258,solar,Anhui Xiejiaji Wangfenggang Mined Out Area Xingang solar farm,32.0,117.0,33
259,solar,Anhui Xinyang Count Xinhezhen Hongshancun fisheries solar farm,32.0,117.0,40
