,country,country_iso,capacity
0,Algeria,DZA,3.4011973816621555
1,Argentina,ARG,8.187855443695623
2,Aruba,ABW,4.0943445622221
3,Australia,AUS,9.310366686043308
4,Austria,AUT,7.943782692458625
5,Azerbaijan,AZE,3.912023005428146
6,Barbados,BRB,2.302585092994046
7,Belgium,BEL,8.185071477532283
8,Bolivia,BOL,4.882801922586371
9,"Bonaire, Sint Eustatius and Saba",BES,2.3978952727983707
10,Bosnia and Herzegovina,BIH,5.209486152841421
11,Brazil,BRA,10.052640047938569
12,Bulgaria,BGR,6.368187186350492
13,Canada,CAN,9.583144537844786
14,Chile,CHL,8.408939605975984
15,China,CHN,12.534192238601591
16,Colombia,COL,3.6888794541139363
17,Costa Rica,CRI,5.988961416889864
18,Croatia,HRV,6.873163834212518
19,Cuba,CUB,5.017279836814924
20,Curaçao,CUW,3.8501476017100584
21,Cyprus,CYP,5.049856007249537
22,Czech Republic,CZE,4.941642422609304
23,Denmark,DNK,8.412499120301572
24,Djibouti,DJI,4.07753744390572
25,Dominican Republic,DOM,6.137727054086234
26,Ecuador,ECU,4.189654742026425
27,Egypt,EGY,7.384610383176974
28,El Salvador,SLV,3.9889840465642745
29,Estonia,EST,7.776115477098742
30,Ethiopia,ETH,6.212606095751519
31,Faroe Islands,FRO,3.2188758248682006
32,Fiji,FJI,2.302585092994046
33,Finland,FIN,8.486940148245216
34,France,FRA,9.815475675212914
35,Georgia,GEO,3.044522437723423
36,Germany,DEU,10.586609649448985
37,Ghana,GHA,5.0106352940962555
38,Greece,GRC,8.252185436003328
39,Guadeloupe,GLP,3.713572066704308
40,Guatemala,GTM,4.663439094112067
41,Honduras,HND,5.459585514144159
42,Hungary,HUN,5.765191102784844
43,India,IND,10.161496191176417
44,Indonesia,IDN,4.990432586778736
45,Iran,IRN,6.322565239927284
46,Ireland,IRL,8.277411998949004
47,Israel,ISR,4.770684624465665
48,Italy,ITA,9.115370134384955
49,Jamaica,JAM,4.59511985013459
50,Japan,JPN,8.230044310126114
51,Jordan,JOR,6.431331081933479
52,Kazakhstan,KAZ,6.517671272912275
53,Kenya,KEN,6.131226489483141
54,Kosovo,BGR,4.983606621708336
55,Kuwait,KWT,2.302585092994046
56,Latvia,LVA,3.713572066704308
57,Lithuania,LTU,6.539585955617669
58,Luxembourg,LUX,4.584967478670572
59,Macao,MAC,5.288267030694535
60,Martinique,MTQ,2.6390573296152584
61,Mauritania,MRT,4.867534450455582
62,Mexico,MEX,8.996156562033445
63,Mongolia,MNG,5.043425116919247
64,Montenegro,MNE,4.770684624465665
65,Morocco,MAR,7.067319848653476
66,Netherlands,NLD,8.683385366280309
67,New Caledonia,NCL,3.7376696182833684
68,New Zealand,NZL,6.905753276311464
69,Nicaragua,NIC,5.241747015059643
70,Nigeria,NGA,2.302585092994046
71,North Macedonia,MKD,4.465908118654584
72,Norway,NOR,8.470101583882387
73,Oman,OMN,3.912023005428146
74,Pakistan,PAK,7.115582126184454
75,Panama,PAN,5.814130531825066
76,Peru,PER,6.244166900663736
77,Philippines,PHL,6.373319789577012
78,Poland,POL,8.908829791587868
79,Portugal,PRT,8.449128460502108
80,Puerto Rico,PRI,4.820281565605037
81,Romania,ROU,8.628555659269699
82,Russia,RUS,7.256297239690681
83,Saudi Arabia,SAU,5.991464547107982
84,Senegal,SEN,5.030437921392435
85,Serbia,SRB,7.102499355774649
86,South Africa,ZAF,8.163371316459912
87,South Korea,KOR,7.112327444710911
88,Spain,ESP,10.214312256490171
89,Sri Lanka,LKA,5.3981627015177525
90,Sudan,SDN,3.2188758248682006
91,Sweden,SWE,9.499121839871265
92,Switzerland,CHE,3.713572066704308
93,Taiwan,TWN,8.144098463338524
94,Thailand,THA,7.638198244285779
95,Tunisia,TUN,5.4510384535657
96,Turkey,TUR,9.263596738276615
97,Ukraine,UKR,7.360739903058278
98,United Kingdom,GBR,10.288035412388904
99,United States,USA,11.851124780759825
100,Uruguay,URY,7.170888478512505
101,Venezuela,VEN,3.4339872044851463
102,Vietnam,VNM,8.663023639627777
103,Western Sahara,ESH,6.315358001522335
104,Åland Islands,ALA,2.6390573296152584
